Lista de comprobación y resultados de la prueba para la aplicación móvil Urban.Lunch,,,
,,,
#,Descripción,Estado,Enlace al informe de errores
UL-29,El importe total muestra el precio con el costo de la entrega ,NO APROBADO,https://andrea-del-pilar19.atlassian.net/browse/UL-29
UL-30,En la pantalla de confirmación del pedido se encuentra el tiempo estimado de entrega,NO APROBADO,https://andrea-del-pilar19.atlassian.net/browse/UL-30
UL-31,"El progreso del pedido se muestra en el pie de página, el primer y segundo paso se marcan como completados (en color) y el tercer paso se marca como en curso",APROBADO,
UL-32,En la pantalla de confirmación del pedido se encuentra la lista de platillos con sus nombres ,APROBADO,
UL-33,En la pantalla de confirmación del pedido si se selecciona más de una vez el mismo platillo aparece el número de cada uno,APROBADO,
UL-34,En la pantalla de confirmación del pedido no contiene ninguna otra información sobre el platillo,APROBADO,
UL-35,Si la lista es larga se puede desplazar por ella,APROBADO,
UL-36,"En el pie de página que se encuentra en la pantalla de confirmación del pedido aparece el botón ""pedir""",APROBADO,
UL-37,"El tocar el botón ""pedir"" permite llevar al usuario a la pantalla de seguimiento de pedidos",APROBADO,
UL-38,En la pantalla de seguimiento de pedidos aparece un mapa que muestra el punto de recogida desde el que se puede recoger el pedido ,APROBADO,
UL-39,En la pantalla de seguimiento de pedidos aparecen los restautantes donde se preparan los platillos ,APROBADO,
UL-40,En la pantalla de seguimiento de pedidos aparecen las rutas desde los restaurantes hasta el punto de recogida,APROBADO,
UL-41,En la pantalla de seguimiento de pedidos aparece el costo de todos los platillos pedidos en el restaurante,APROBADO,
UL-42,En la pantalla de seguimiento de pedidos aparece el tiempo restante de preparación ,APROBADO,
UL-43,En la pantalla de seguimiento de pedidos aparece el tiempo de entrega desde el restautante hasta el punto de recogida,APROBADO,
UL-44,"Cuando los platillos se entregan desde el restaurante hasta el punto de recogida, tanto el punto del restaurante como la ruta hasta el punto de recogida desaparecen del mapa en la pantalla de seguimiento",NO APROBADO,https://andrea-del-pilar19.atlassian.net/browse/UL-44
UL-45,En la pantalla de seguimiento la lista muestra los platillos con los restaurantes desde donde se envían,APROBADO,
UL-46,Al hacer clic en la lista de los platillos de la pantalla de seguimiento no sucede nada,APROBADO,
UL-47,"En la pantalla de seguimiento, cuando el platillo se entrega en el punto de recogida aparece una marca de verificación de color verde a la izquierda del mismo, lo que indica que el platillo está listo",APROBADO,
UL-48,"Si en la pantalla de seguimiento hay muchos elementos en la lista y no caben en la pantalla, se puede desplazar por la lista",APROBADO,
UL-49,En la pantalla de seguimiento de pedidos aparece un temporizador que muestra el tiempo que queda hasta que se recoja el pedido,APROBADO,
UL-50,"Al entregar todos los platillos el temporizador debe estar en cero y automáticamente se cambia a la pantalla ""el pedido ha sido entregado""",APROBADO,
UL-51,"En la pantalla ""El pedido ha sido entregado"" aparece un mapa con el punto donde se encuentra el lugar de recogida deseado",APROBADO,
UL-52,"En la pantalla ""El pedido ha sido entregado"" aparece un texto grande que indica que se puede recoger el pedido",APROBADO,
UL-53,"En la pantalla ""El pedido ha sido entregado"" aparece un texto con la dirección del punto de recogida",APROBADO,
UL-54,"En la pantalla ""El pedido ha sido entregado"" aparece un texto con una advertencia de que se debe recoger el pedido antes de que se enfríe",NO APROBADO,https://andrea-del-pilar19.atlassian.net/browse/UL-54
UL-55,"En la pantalla ""El pedido ha sido entregado"" el botón ""Recibí el pedido"" se encuentra debajo de la notificación",APROBADO,
UL-56,"En la pantalla ""El pedido ha sido entregado"" aparece el botón ""Recibí el pedido"" ",APROBADO,
UL-57,"Al hacer clic en el botón ""recibí el pedido"", este se considera completado",APROBADO,
UL-58,"Posteriormente de hacer clic en el botón ""recibí el pedido"" se lleva al usuarios a la página de feedback",APROBADO,
UL-59,Despues de llevar al usuario a la página de feedback se lleva a este a seleccionar un punto de recogida para crear un nuevo pedido,APROBADO,
UL-60,Si no se permite el acceso a la geolocalización aparece un mensaje de error,NO APROBADO,https://andrea-del-pilar19.atlassian.net/browse/UL-60
UL-61,Al intentar hacer un pedido sin agregar ningún platillo aparece un mensaje de error,NO APROBADO,https://andrea-del-pilar19.atlassian.net/browse/UL-61
